Relatório de linhas por arquivo e por módulo
Gerado em: 2026-01-19T16:00:36.015738
Raiz do repositório: c:\xampp\htdocs\ImproovWeb
Arquivos considerados (ignora .gitignore quando há Git): 645
Total de arquivos: 645  Total de linhas: 189605

Ranking de módulos por linhas:
127. Dashboard/briefing_arquivos_save.php —      261 linhas  /     1 arquivos
128. FlowReview/index.php           —      261 linhas  /     1 arquivos
129. Dashboard/add_fotografico_registro.php —      260 linhas  /     1 arquivos
130. Revisao/index.php              —      258 linhas  /     1 arquivos
131. Arquivos/index.php             —      254 linhas  /     1 arquivos
132. css/styleArquitetura.css       —      253 linhas  /     1 arquivos
133. FlowTrack/Radar/radar_data.php —      252 linhas  /     1 arquivos
134. ScriptArquivos/composer.lock   —      251 linhas  /     1 arquivos
135. flow-radar-opportunities.php   —      250 linhas  /     1 arquivos
136. review/teste/style.css         —      249 linhas  /     1 arquivos
137. ScriptArquivos/vendor/composer/installed.json —      247 linhas  /     1 arquivos
138. Render/index.php               —      245 linhas  /     1 arquivos
139. TelaGerencial/buscar_producao_funcao.php —      245 linhas  /     1 arquivos
140. FlowReferencias/upload.php     —      241 linhas  /     1 arquivos
141. FlowTrack/Radar/script.js      —      235 linhas  /     1 arquivos
142. Dashboard/adicionarClienteObra.php —      234 linhas  /     1 arquivos
143. Pagamento/updateStatusPagamento.php —      234 linhas  /     1 arquivos
144. sidebar.php                    —      230 linhas  /     1 arquivos
145. FollowUp/style.css             —      228 linhas  /     1 arquivos
146. Planner/script.js              —      225 linhas  /     1 arquivos
147. Revisao/atualizar.php          —      225 linhas  /     1 arquivos
148. updateInfos.php                —      223 linhas  /     1 arquivos
149. CHANGELOG/Flow/SOE.md          —      220 linhas  /     1 arquivos
150. PaginaPrincipal/Overview/index.php —      218 linhas  /     1 arquivos
151. Imagens/script.js              —      217 linhas  /     1 arquivos
152. css/styleDashboard.css         —      217 linhas  /     1 arquivos
153. review/style.css               —      215 linhas  /     1 arquivos
154. Dashboard/handoff_comercial_save.php —      214 linhas  /     1 arquivos
155. FlowTrack/Radar/style.css      —      214 linhas  /     1 arquivos
156. FlowTrack/index.php            —      211 linhas  /     1 arquivos
157. CHANGELOG/Flow/render.html     —      210 linhas  /     1 arquivos
158. FlowReferencias/style.css      —      209 linhas  /     1 arquivos
159. PaginaPrincipal/Overview/script.js —      208 linhas  /     1 arquivos
160. FlowTrack/Report/report_data.php —      206 linhas  /     1 arquivos
161. uploadArquivos.php             —      206 linhas  /     1 arquivos
162. CHANGELOG/Flow/uploadArquivos.html —      204 linhas  /     1 arquivos
163. TelaGerencial/buscar_producao.php —      203 linhas  /     1 arquivos
164. GANTT/scriptColab.js           —      202 linhas  /     1 arquivos
165. TelaGerencial/index.php        —      201 linhas  /     1 arquivos
166. ScriptArquivos/script.js       —      197 linhas  /     1 arquivos
167. CHANGELOG/Flow/.obsidian/workspace.json —      196 linhas  /     1 arquivos
168. SOE/tests/status_tipo_report.php —      193 linhas  /     1 arquivos
169. assets/js/upload-ws.js         —      191 linhas  /     1 arquivos
170. Alteracao/script.js            —      190 linhas  /     1 arquivos
171. tools/versionize_assets.php    —      190 linhas  /     1 arquivos
172. Obras/style.css                —      189 linhas  /     1 arquivos
173. Pos-Producao/inserir_pos_producao.php —      189 linhas  /     1 arquivos
174. FlowTrack/script.js            —      188 linhas  /     1 arquivos
175. css/styleSidebar.css           —      187 linhas  /     1 arquivos
176. FlowTrack/style.css            —      186 linhas  /     1 arquivos
177. Entregas/index.php             —      182 linhas  /     1 arquivos
178. Colaborador/style.css          —      180 linhas  /     1 arquivos
179. notificacoes_slack.php         —      180 linhas  /     1 arquivos
180. FlowTrack/finalizacao_data.php —      179 linhas  /     1 arquivos
181. Pagamento/registrar_finalizacao_completa.php —      179 linhas  /     1 arquivos
182. Producao/script.js             —      176 linhas  /     1 arquivos
183. getFuncoesPorObra.php          —      176 linhas  /     1 arquivos
184. review/script.js               —      176 linhas  /     1 arquivos
185. Calendario/script.js           —      175 linhas  /     1 arquivos
186. tools/get_timeline_obra.php    —      175 linhas  /     1 arquivos
187. charts/colaboradores_line_chart.html —      174 linhas  /     1 arquivos
